ranking,name,score,review_count,quote,detail_url,introduce
74,小鞋子,9.2,372380人评价,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/,"导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...
1997 / 伊朗 / 剧情 儿童 家庭"
75,阿凡达,8.8,1268261人评价,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
2009 / 美国 / 动作 科幻 冒险"
76,哈利·波特与死亡圣器(下),8.9,741908人评价,10年的完美句点。,https://movie.douban.com/subject/3011235/,"导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
2011 / 美国 英国 / 奇幻 冒险"
77,沉默的羔羊,8.9,799239人评价,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/,"导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
1991 / 美国 / 剧情 犯罪 惊悚"
78,海豚湾,9.3,336387人评价,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/,"导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...
2009 / 美国 / 纪录片"
79,致命魔术,8.9,783731人评价,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
2006 / 英国 美国 / 剧情 悬疑 惊悚"
80,禁闭岛,8.8,879656人评价,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/,"导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
2010 / 美国 / 剧情 悬疑 惊悚"
81,布达佩斯大饭店,8.9,833767人评价,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/,"导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
2014 / 美国 德国 英国 / 剧情 喜剧 冒险"
82,蝴蝶效应,8.8,854185人评价,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/,"导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚"
83,美国往事,9.2,377332人评价,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/,"导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
1984 / 美国 意大利 / 犯罪 剧情"
